Rank,Name,Score
834,What2,'41.149
835,三个臭皮匠,'41.7038
836,YB_YB,'42.6871
837,一个臭皮匠咋顶诸葛亮,'42.7877
838,_YB8Bo_,'42.8648
839,zhangzerui,'44.6863
840,COVET,'44.7011
841,请以上队伍上台领奖,'45.6876
842,hw80021605,'46.2883
843,摸鱼吧！,'47.3844
844,shammy,'47.7729
845,运筹优化小队,'47.9785
846,uestc_allen,'48.1719
847,LINRUIHANG,'48.443
848,摸鱼我最强,'48.7816
849,hdjsjysx,'49.0406
850,LI,'49.4284
851,hw94891551,'50.3885
852,hw86564899,'52.969
853,干哈哈不行,'53.0607
854,hit战队,'54.878
855,hw08034176,'55.7984
856,hw15477201,'59.2641
857,加香菜不要洋葱,'64.2696
858,dalaodaidaiwo_,'64.4056
859,bbp123,'64.5546
860,Coding,'65.8047
861,ggzz,'66.5604
862,校霸,'66.9918
863,南山泉水鸡,'67.2695
864,flyhema,'67.3649
865,濮竹01,'67.5085
866,hw16282285,'67.5143
867,hw00512656,'68.074
868,HXY,'68.88
869,hw94105119,'72.1096
870,thth,'75.7587
871,ds,'76.0205
872,CAU-fighter,'78.0013
873,歌德寂寞,'78.1498
874,lnjjjj,'79.1327
875,LKB,'79.2547
876,C,'79.7844
877,姐妹！,'80.8891
878,hw76600538,'81.1208
879,sunxiangjun,'81.1384
880,sunxiangjun,'83.258
881,hw28604196,'84.8424
882,hw02849838,'85.0917
883,hw08786912,'85.41
884,hw30869789,'87.0942
885,蓬松的头发,'87.8377
886,独墅湖赛艇,'90.8206
887,枣子姐永远滴神,'93.7199
888,hw11168891,'96.4434
889,hw76963048,'97.9473
890,useless,'100.836
891,sunxiangjun,'101.2813
892,zheyday,'114.6761
893,Salatomatoignon,'116.6509
894,aware,'121.5126
895,liumin_1,'134.7639
896,西大楼小队,'135.4314
897,zk2020,'136.4501
898,wenkei,'136.5607
899,mgg644,'137.4321
900,Recorder1994,'142.7623
901,Goto,'148.4795
902,HFL123,'154.5188
903,hjkl,'162.1602
904,sunxiangjun,'167.6327
905,Saturday,'179.9869
906,hw30186372,'188.5732
907,濮竹,'197.8307
908,hw50570008,'205.4545
909,柠可有你,'219.3642
910,三个酱油瓶,'220.9808
911,盛老师很牛,'227.6729
912,jwjwjwzhang,'235.2631
913,打酱油的,'236.3974
914,卡提诺,'250.8512
915,ARDAER,'261.2922
916,hw16786056,'275.695
917,bugmakerrr,'283.5807
918,双叶天下第一,'294.463
919,HumPeriod,'317.909
920,jiang_yue_ye,'363.2166
921,hw00717793,'388.0506
922,代码你要学会自动优化啊,'444.6059
923,Stu_Sun,'447.9265
924,hw20277792,'449.537
925,橙子不怕天虎队,'460.7204
926,GroundBySpring,'476.033
927,Creammmmm,'506.984
928,always@(posedge hearbeats),'565.8851
929,hw42134451,'633.7201
930,无限,'980.1345
931,hw17885387,'1048.0831
